Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Colleges,"$195,132.08","$5,140.83",Conestoga College,President,2001,73cc5296ab7e963dec41fba9c246632d91e2c760496ac897d42a50354ad0abcd
Colleges,"$101,988.76",$185.37,Confederation College,Assoc. Dean Media & Computing Tech.,2001,2efe166957953a0ed86b1804a10ae06e8356df43e505615dcd43ac0b19052380
Colleges,"$118,311.64",$214.90,Confederation College,"VP, Admin Services",2001,0bc7fc94606b025bdbb211289d27b25a8e9622726d49302452e78a5793b177e6
Colleges,"$159,868.52","$6,176.26",Confederation College,President,2001,ca78099ea3bdd8947ce30182ecf9ba257e87e6df7ae80a3c7171e39d702668c5
Colleges,"$114,124.54","$5,578.92",Durham College,"VP, Business & Skills Develop.",2001,bc4dcd02ca695eb50b042141f437564aa413bbb8f54c179586364f9ba40e56a2
Colleges,"$113,617.13","$5,978.04",Durham College,Exec. Dir. of Student Services,2001,666cc6f57982bc7dabb733624e0bbd09587c39d081ef13e4076653dca6d9445e
Colleges,"$132,853.00","$7,887.47",Durham College,"VP, Finance & Admin.Services.",2001,707089850941ba4b08dcf54d28e218a9cc2ca4bd4899dc7f3fa8621e43d62dc1
Colleges,"$118,258.02",$471.09,Durham College,Executive Director ACAATO,2001,15f0fe54d38d6e13e0f7405be13a97cc32ccd1328112ac14477c0741246ab0cf
Colleges,"$104,570.71",$163.90,Durham College,Faculty,2001,a5e20cc4c27a88d4cdc52d1de302ade110f1dd0b2f5d567a5f0f575355ab613e
Colleges,"$118,594.00","$5,825.94",Durham College,"VP, Info. & Learning Technology",2001,fbe9c0c058a7e48374639a95cbf9c9a2e24b19fd066c5da45e2c365b0ad98dde
Colleges,"$166,801.00","$15,457.00",Durham College,President,2001,2a08007c69b9c884fe60a236ba1d5a4b9a2f12eaa832e53ff2fd4622138d9995
Colleges,"$104,142.63","$5,782.23",Durham College,"VP, Human Res. & Legal Services",2001,4c7503809e7f6eb366c844decc9c2f2e5a1a4cf2dc1b8c8dbbb09952da0d280b
Colleges,"$123,387.63","$5,709.39",Durham College,"VP, Academic Excellence & Innov.",2001,d9696f268275d8cb2401bb5903ef57e1b70db018582578aa8f54300361b218a5
Colleges,"$103,875.03",$181.65,Fanshawe College,"VP, Student & Staff Services",2001,f6decd2e1eccda03999bfff1e518596fe68ac61656079f45b0c20b1569167c1c
Colleges,"$160,223.92",$300.75,Fanshawe College,President,2001,d6b5f7cf49d99a5c5b3bcc9ae756f893e2a02768a0dd42c2134bb8fccc81a7d8
Colleges,"$112,753.53",$218.43,Fanshawe College,"Sr.VP, Academic Services",2001,cae9fc16260175676f3278cf6f9b3ab7857ab796810a626f2b31445e871d87f6
Colleges,"$130,923.17",$328.52,George Brown College,"VP, Academic Excellence & Innov.",2001,6cf0a57073c00925a0ee2cfae7ae6d3a0741e912c617cf55e0772a04499ac366
